batch_size,eps,fname,norm,steps,trials,acc,robust-acc
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,40,1,0.9176,0.3976
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,40,1,0.9176,0.0261
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,40,1,0.9176,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,40,1,0.9176,0.006
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,100,1,0.9176,0.3964
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,100,1,0.9176,0.0265
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,100,1,0.9176,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,100,1,0.9176,0.0061
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,40,10,0.9176,0.3884
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,40,10,0.9176,0.0239
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,40,10,0.9176,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,40,10,0.9176,0.005
1000,1.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,100,10,0.9176,0.3865
1000,2.0,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,l2,100,10,0.9176,0.0236
1000,0.3,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,100,10,0.9176,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_0_trainable_1_009.h5,linf,100,10,0.9176,0.0048
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,40,1,0.9143,0.4145
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,40,1,0.9143,0.0392
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,40,1,0.9143,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,40,1,0.9143,0.0088
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,100,1,0.9143,0.4144
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,100,1,0.9143,0.0378
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,100,1,0.9143,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,100,1,0.9143,0.009
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,40,10,0.9143,0.4067
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,40,10,0.9143,0.0355
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,40,10,0.9143,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,40,10,0.9143,0.008
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,100,10,0.9143,0.4044
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,l2,100,10,0.9143,0.0351
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,100,10,0.9143,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_0_008.h5,linf,100,10,0.9143,0.008
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,40,1,0.9169,0.3411
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,40,1,0.9169,0.0268
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,40,1,0.9169,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,40,1,0.9169,0.0063
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,100,1,0.9169,0.3387
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,100,1,0.9169,0.0261
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,100,1,0.9169,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,100,1,0.9169,0.0059
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,40,10,0.9169,0.3321
1000,2.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,40,10,0.9169,0.0237
1000,0.3,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,40,10,0.9169,0.0
1000,0.15,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,linf,40,10,0.9169,0.0054
1000,1.0,type_original_comps_10_dense_128_normalized_1_trainable_1_009.h5,l2,100,10,0.9169,0.3313
