batch_size,eps,model,norm,steps,trials,acc,robust-acc
1000,0.15,model-type_original_comps_60_dense_128_007.h5,linf,100,10,0.9446,0.0
1000,1.0,model-type_original_comps_60_dense_256_009.h5,l2,40,1,0.9394,0.0389
1000,2.0,model-type_original_comps_60_dense_256_009.h5,l2,40,1,0.9394,0.0
1000,0.3,model-type_original_comps_60_dense_256_009.h5,linf,40,1,0.9394,0.0
1000,0.15,model-type_original_comps_60_dense_256_009.h5,linf,40,1,0.9394,0.0
1000,1.0,model-type_original_comps_60_dense_256_009.h5,l2,100,1,0.9394,0.0375
1000,2.0,model-type_original_comps_60_dense_256_009.h5,l2,100,1,0.9394,0.0
1000,0.3,model-type_original_comps_60_dense_256_009.h5,linf,100,1,0.9394,0.0
1000,0.15,model-type_original_comps_60_dense_256_009.h5,linf,100,1,0.9394,0.0
1000,1.0,model-type_original_comps_60_dense_256_009.h5,l2,40,10,0.9394,0.0306
